qid	text_a	text_b	label
0	Al Di La	Love Al Di La	1
1	place	I recommend this place to everyone.	1
2	food	Great food.	1
3	pastas	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	1
4	risottos	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	1
5	sepia	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	1
6	braised rabbit	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	1
7	food	The food here was mediocre at best. 	0
8	Dog	Tasty Dog!	1
9	dog	An awesome organic dog, and a conscious eco friendly establishment.	1
10	establishment	An awesome organic dog, and a conscious eco friendly establishment.	1
11	Cypriot restaurant	The Cypriot restaurant has a lot going for it.	1
12	pork souvlaki	But the best pork souvlaki I ever had is the main thing.	1
13	Pizza	Super YUMMY Pizza!	1
14	restaurant	I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.	1
15	eggplant pizza	I LOOOVE their eggplant pizza, as well as their pastas!	1
16	pastas	I LOOOVE their eggplant pizza, as well as their pastas!	1
17	half/half pizza	We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	1
18	food	Excellent food, although the interior could use some help.	1
19	interior	Excellent food, although the interior could use some help.	0
20	space	The space kind of feels like an Alice in Wonderland setting, without it trying to be that.	0
21	meal	I paid just about $60 for a good meal, though :)	1
22	meal	I paid just about $60 for a good meal, though :)	1
23	sake	Great sake!	1
24	Sushi	Reliable, Fresh Sushi	1
25	sashimi	The sashimi is always fresh and the rolls are innovative and delicious.	1
26	rolls	The sashimi is always fresh and the rolls are innovative and delicious.	1
27	rolls	The sashimi is always fresh and the rolls are innovative and delicious.	1
28	service	Have never had a problem with service save a missing rice once.	1
29	Delivery	Delivery can be spot on or lacking depending on the weather and the day of the week.	0
30	Delivery guy	Delivery guy sometimes get upset if you don't tip more than 10%.	0
31	Sushi	Best. Sushi. Ever.	1
32	sushi	This place has ruined me for neighborhood sushi.	1
33	sashimi	Excellent sashimi, and the millennium roll is beyond delicious.	1
34	millennium roll	Excellent sashimi, and the millennium roll is beyond delicious.	1
36	place	The place is a bit hidden away, but once you get there, it's all worth it.	1
37	food	not only is the food	1
38	waiter	The waiter was attentive, the food was delicious and the views of the city were great.	1
39	food	The waiter was attentive, the food was delicious and the views of the city were great.	1
40	views of the city	The waiter was attentive, the food was delicious and the views of the city were great.	1
41	place	Great place to relax and enjoy your dinner	1
42	atmosphere	There is something about their atmosphere that makes me come back nearly every week.	1
43	Place	Place is open till late, no dress code.	1
44	food	Good food: my favorite is the seafood spaghetti.	1
45	seafood spaghetti	Good food: my favorite is the seafood spaghetti.	1
46	food	Excellent food for great prices	1
47	food	Excellent food for great prices	1
48	wait staff	The wait staff is very courteous and accomodating.	1
50	space	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	0
51	indo-chinese food	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	1
52	place	my favorite place lol	1
53	chicken pasta	i love their chicken pasta cant remember the name but is sooo good	1
54	place	im not necessarily fanatical about this place, but it was a fun time for low pirces.	1
55	place	im not necessarily fanatical about this place, but it was a fun time for low pirces.	1
58	pizza	I think the pizza is so overrated and was under cooked.	0
59	staff	Had no flavor and the staff is rude and not attentive.	0
60	place	I love this place	1
61	service	The service was quick and friendly.	1
62	restaurant	I thought the restaurant was nice and clean.	1
63	restaurant	I thought the restaurant was nice and clean.	1
64	vitello alla marsala	I ordered the vitello alla marsala and I was pretty impressed.	1
65	veal	The veal and the mushrooms were cooked perfectly.	1
66	mushrooms	The veal and the mushrooms were cooked perfectly.	1
67	potato balls	The potato balls were not dry at all... in fact it was buttery.	1
68	PLACE	WORST PLACE ON SMITH STREET IN BROOKLYN	0
69	bartender	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	0
70	service	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	0
71	food	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	0
72	waitresses	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	0
73	place	I would never recommend this place to anybody even for a casual dinner.	0
74	place	I would never recommend this place to anybody even for a casual dinner.	0
75	food	the food is always fresh ...	1
76	japanese food	overpriced japanese food with mediocre service	0
78	Chicken teriyaki	Chicken teriyaki had tomato or pimentos on top??	0
79	food	food was luke warm.	0
80	waitress	The waitress was not attentive at all.	0
81	dessert	I was looking for banana tempura for dessert and they dont have.	0
82	The Four Seasons	Not because you are The Four Seasons... – you are allowed to charge an arm and a leg for a romatic dinner.	0
83	food	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	1
84	service	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	1
85	The Four Seasons	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	0
86	dinner	I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.	0
87	Red Dragon Roll	Red Dragon Roll - my favorite thing to eat, of any food group - hands down	1
88	Yamato	Just go to Yamato and order the Red Dragon Roll.	1
89	Red Dragon Roll	Just go to Yamato and order the Red Dragon Roll.	1
90	Seafood Dynamite	The Seafood Dynamite is also otherworldly.	1
91	Sushi	Favorite Sushi in NYC	1
92	spot	An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	1
93	sushi	An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	1
94	service	An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	1
95	back garden area	In the summer months, the back garden area is really nice.	1
96	rolls	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	1
97	japanese food	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	1
98	japanese food	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	1
99	Dancing, White River and Millenium rolls	The Dancing, White River and Millenium rolls are musts.	1
100	PLACE	I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)	1
101	food	Gross food – Wow-	0
102	food	I can't remember the last time I had such gross food in New York.	0
103	quesadilla	My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	0
104	quesadilla	My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	0
105	guacamole	And $11 for a plate of bland guacamole?	0
106	guacamole	And $11 for a plate of bland guacamole?	0
107	margaritas	Don't get me started on the margaritas, either.	0
108	place	Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.	0
109	Indian Food	Great Indian Food!	1
110	food	The food was good, the place was clean and affordable.	1
111	place	The food was good, the place was clean and affordable.	1
112	place	The food was good, the place was clean and affordable.	1
113	indian place	I noticed alot of indian people eatting there which is a great sign for an indian place!	1
114	staff	The staff is very good.	1
