qid	text_a	text_b	label
0	place	Judging from previous posts this used to be a good place, but not any longer.	0
1	staff	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	0
2	food	The food was lousy - too sweet or too salty and the portions tiny.	0
3	portions	The food was lousy - too sweet or too salty and the portions tiny.	0
4	place	Avoid this place!	0
5	food	I have eaten at Saul, many times, the food is always consistently, outrageously good.	1
6	Saul	Saul is the best restaurant on Smith Street and in Brooklyn.	1
7	foie gras terrine with figs	The duck confit is always amazing and the foie gras terrine with figs was out of this world.	1
8	duck confit	The duck confit is always amazing and the foie gras terrine with figs was out of this world.	1
9	wine list	The wine list is interesting and has many good values.	1
10	wine list	The wine list is interesting and has many good values.	1
11	restaurant	I was very disappointed with this restaurant.	0
12	cart attendant	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	0
13	Food	Food was okay, nothing great.	2
14	Chow fun	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	0
15	pork shu mai	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	0
16	place	I/we will never go back to this place again.	0
17	Fish	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	1
18	Service	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	1
19	oysters	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	1
20	Restaurant Saul	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	1
21	duck breast special	I had the duck breast special on my last visit and it was incredible.	1
22	food	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	0
23	Thai fusion stuff	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	0
24	Grilled Chicken special with Edamame Puree	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	1
25	Edamame pureed	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	1
26	Edamame pureed	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	1
