qid	text_a	text_b	label
0	sushi	Serves really good sushi.	1
1	portions	Not the biggest portions but adequate.	2
2	Green Tea creme brulee	Green Tea creme brulee is a must!	1
3	place	– I can't say enough about this place.	1
4	sushi	It has great sushi and even better service.	1
5	service	It has great sushi and even better service.	1
6	staff	The entire staff was extremely accomodating and tended to my every need.	1
7	restaurant	I've been to this restaurant over a dozen times with no complaints to date.	1
8	owner	The owner is belligerent to guests that have a complaint.	0
9	food	Good food!	1
10	meal	This is a great place to get a delicious meal.	1
11	staff	The staff is pretty friendly.	1
12	onion rings	The onion rings are great!	1
13	food	– I was highly disappointed in the food at Pagoda.	0
14	lemon chicken	The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.	0
15	honey walnut prawns	The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.	0
16	honey walnut prawns	The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.	0
17	ambience	Nice ambience, but highly overrated place.	1
18	place	Nice ambience, but highly overrated place.	0
19	Service	Worst Service I Ever Had	1
20	service	Everyone that sat in the back outside agreed that it was the worst service we had ever received.	0
21	waiter	Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.	0
22	manager	I complained to the manager, but he was not even apologetic.	0
23	Italian Food	Fabulous Italian Food!	1
24	Mioposto	– I highly recommend Mioposto.	1
25	Italian restaurant	I am so happy to have a wonderful Italian restaurant in my neighborhood.	1
26	wine list	The wine list is wonderful and the food reminds me of my recent trip to Italy.	1
27	food	The wine list is wonderful and the food reminds me of my recent trip to Italy.	1
28	restaurant	I love this restaurant	1
29	meal	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
30	service	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
31	ambiance	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
32	wine list	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
33	food	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
34	staff	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
35	place	I have not a bad thing to say about this place.	1
36	food	The food was great!	1
37	food	It's *very* reasonably priced, esp for the quality of the food.	1
38	food	It's *very* reasonably priced, esp for the quality of the food.	1
39	Kafta plate	I had the Kafta plate and it was perfect.	1
40	meal	Finally a meal that you will remember for a long time!	1
41	food	– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.	1
42	service	– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.	1
43	place	This is the place to relax and enjoy the finest quality food the industry can offer.	1
44	food	This is the place to relax and enjoy the finest quality food the industry can offer.	1
45	food	Caution - its real food for people who love the best.	1
46	atmosphere	I liked the atmosphere very much but the food was not worth the price.	1
47	food	I liked the atmosphere very much but the food was not worth the price.	0
48	food	I liked the atmosphere very much but the food was not worth the price.	0
49	food	I may not be a sushi guru but I can tell you that the food here is just okay and that there is not much else to it.	0
50	Rice	Rice is too dry, tuna wasn't so fresh either.	0
51	tuna	Rice is too dry, tuna wasn't so fresh either.	0
52	fish	I have eaten here three times and have found the quality and variety of the fish to be excellent.	1
53	fish	I have eaten here three times and have found the quality and variety of the fish to be excellent.	1
54	service	However, the value and service are both severely lacking.	0
55	fish	Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.	1
56	rolls	Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.	0
57	service	The service ranges from mediocre to offensive.	0
58	waiter	On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.	0
59	staff members	On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.	0
60	sushi	Freshest sushi  – I love this restaurant.	1
61	restaurant	Freshest sushi  – I love this restaurant.	1
62	miso soup	They pay such detail to everything from miso soup to complex rolls.	1
63	rolls	They pay such detail to everything from miso soup to complex rolls.	1
64	sashimi	The sashimi was the freshest and most tender I have ever tasted.	1
65	apps	Their apps are all delicious.	1
66	place	The only drawback is that this place is really expensive and the portions are on the small side.	0
67	portions	The only drawback is that this place is really expensive and the portions are on the small side.	0
68	space	But the space is small and lovely, and the service is helpful.	1
69	service	But the space is small and lovely, and the service is helpful.	1
70	food	– The food was not great & the waiters were rude.	0
71	waiters	– The food was not great & the waiters were rude.	0
72	service	great service	1
73	service	my service was stellar!	1
74	bus boy	the bus boy even spotted that my table was shaking a stabilized it for me.	1
75	food	food was fine, with a some little-tastier-than-normal salsa.	1
76	salsa	food was fine, with a some little-tastier-than-normal salsa.	1
77	food	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	1
78	margaritas	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	1
79	waitress	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	0
80	pizza place	Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place.	1
81	pizza	the only problem is you really have to warm up the pizza before it's edible, even when you order ahead.	0
82	Sushi	Best Sushi in town.	1
83	calamari	The best calamari in Seattle!	1
84	deck	– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.	1
85	place	A perfect place to take out of town guests any time of the year.	1
86	music	Endless fun, awesome music, great staff!!!	1
87	staff	Endless fun, awesome music, great staff!!!	1
88	bar	– By far the best bar in the east village...	1
89	bartender	Every time 0-sixtynine is called the bartender buys everyone drinks!	1
90	pizza	Great draft and bottle selection and the pizza rocks.	1
91	draft and bottle selection	Great draft and bottle selection and the pizza rocks.	1
92	jukebox's	Definitely has one of the best jukebox's i've seen in a long long time.	1
93	food	The food is great, the bartenders go that extra mile.	1
94	bartenders	The food is great, the bartenders go that extra mile.	1
95	owners	The owners are great fun and the beer selection is worth staying for.	1
96	beer selection	The owners are great fun and the beer selection is worth staying for.	1
97	upstairs	And the upstairs is a great place to hang out.	1
98	balconey	Not alot of smoking places left in New York, but I have found my favorite smoking balconey in the city.	1
99	sushi	The sushi here is delicious!	1
100	fish	They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.	1
101	Jellyfish	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
102	Horse Mackerel	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
103	Blue Fin Tuna	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
104	Sake Ikura roll	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
105	pieces	My only negative comment is that I wish the pieces were a little bigger.	0
106	decor	The decor is rustic, traditional Japanese.	2
107	crowd	The crowd is mixed yuppies, young and old.	2
